PUMFID,JOBINCP,STL_170A,STL_170B,STL_170C,STL_170D,STL_170E,STL_170F,STL_170H,STL_170I,STL_170J,STL_170L,STLP170N,GRADAGEP,GENDER2,CTZSHIPP,HLOSGRDP,PGMCIPAP,REG_INST,BEF_160,PGM_P100,PAR1GRD,PAR2GRD
59113,5,2,6,1,6,6,2,1,6,2,6,9,3,2,1,3,4,2,6,1,3,3
59114,3,1,6,2,6,2,2,6,1,2,6,6,1,1,1,3,5,3,5,2,1,1
59116,96,2,2,2,2,1,2,1,6,6,6,6,2,1,1,3,6,2,2,2,3,2
59117,4,2,6,6,6,1,1,6,6,6,6,6,1,2,1,2,9,4,2,1,1,1
59118,99,1,6,1,6,2,2,2,6,6,6,6,4,1,2,2,1,3,6,1,1,1
59124,2,1,1,6,6,2,6,6,6,6,6,6,1,2,1,2,6,3,4,2,2,1
59125,96,2,1,6,6,6,2,1,6,6,6,6,1,2,1,1,2,2,1,2,3,2
59126,4,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,9,2,6,1,2,1
59127,3,6,6,6,6,6,6,6,6,6,6,6,1,1,9,2,8,4,1,2,2,2
59129,3,6,6,6,6,6,6,6,6,6,6,6,4,2,9,2,2,3,6,2,3,3
59130,3,6,6,6,6,6,6,6,6,6,6,6,2,2,3,3,5,4,4,2,3,1
59131,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,10,2,3,1,2,2
59133,96,6,6,6,6,6,6,6,6,6,6,6,4,2,2,1,4,2,6,1,9,9
59135,3,6,6,6,6,6,6,6,6,6,6,6,1,1,3,1,7,3,2,2,3,2
59137,3,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,9,1,6,1,1,1
59138,4,6,6,6,6,6,6,6,6,6,6,6,3,2,3,2,5,4,3,2,2,2
59139,3,1,6,1,6,2,2,2,6,6,6,6,1,1,1,2,2,4,1,2,3,1
59144,3,6,6,6,6,6,6,6,6,6,6,6,3,2,1,2,9,1,6,1,3,2
59145,1,2,6,6,6,1,1,2,6,6,6,6,1,2,1,2,9,4,6,1,2,1
59146,2,1,6,6,6,2,6,2,6,6,1,6,1,2,1,2,4,1,2,2,1,1
59147,2,1,1,6,6,2,2,6,6,2,6,6,1,2,1,2,9,4,4,1,3,1
59148,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,4,2,4,1,1,1
59149,5,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,9,4,6,1,2,2
59150,96,1,6,2,6,2,2,6,6,6,6,1,1,1,1,1,10,4,2,2,1,1
59151,4,1,6,6,2,2,2,2,1,6,6,6,1,2,1,2,4,3,6,2,1,1
59152,4,2,6,6,2,6,2,1,1,6,6,6,2,1,9,3,2,1,4,2,2,2
59153,4,2,1,6,6,1,2,6,6,6,6,6,3,1,1,3,4,3,5,2,1,1
59154,4,2,6,6,6,6,1,6,6,6,1,6,3,2,2,3,5,2,6,2,1,1
59155,2,1,6,6,6,2,1,6,6,6,6,6,1,2,9,9,6,1,99,2,9,9
59156,1,1,6,1,6,2,2,6,6,6,6,6,1,2,1,2,7,4,4,2,3,3
59159,3,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,9,1,6,1,2,9
59160,96,2,6,1,2,2,2,2,1,6,6,6,1,2,1,1,5,1,6,1,3,2
59162,4,1,2,2,6,6,1,2,6,2,6,6,2,2,1,2,2,1,4,2,1,1
59163,96,2,1,6,6,1,2,6,6,6,6,6,2,1,1,3,4,1,3,1,1,1
59164,4,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,1,4,6,1,1,1
59165,3,2,6,6,6,6,6,1,1,2,6,6,1,2,1,2,1,1,1,1,2,3
59168,5,6,6,6,6,6,6,6,6,6,6,6,2,1,3,3,4,3,3,1,2,1
59169,3,1,6,6,6,6,1,2,6,6,2,9,1,1,1,2,5,1,6,2,1,1
59170,4,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,5,2,6,1,2,2
59173,3,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,9,4,2,1,3,3
59175,2,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,2,3,6,1,3,2
59176,5,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,8,4,4,1,3,1
59177,96,9,9,9,9,9,9,9,9,9,9,9,3,2,2,1,9,4,1,1,3,3
59178,4,2,6,6,6,2,1,6,6,1,6,6,3,2,1,2,4,4,6,2,9,9
59179,4,6,6,6,6,6,6,6,6,6,6,6,2,1,9,3,8,2,3,2,2,1
59180,2,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,8,1,4,2,2,2
59182,3,6,6,6,6,6,6,6,6,6,6,6,4,2,1,1,4,1,6,1,1,1
59186,5,6,6,6,6,6,6,6,6,6,6,6,4,2,1,3,9,4,6,2,1,1
59188,1,1,6,1,6,2,6,6,6,6,6,6,1,2,1,1,9,3,5,1,1,1
59190,2,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,8,4,6,1,3,1
59191,4,6,6,6,6,6,6,6,6,6,6,6,3,1,2,3,5,2,6,1,1,1
59192,3,2,6,2,2,1,1,2,6,6,6,6,2,2,1,2,5,4,6,2,1,1
59194,3,1,6,2,2,6,1,2,6,6,6,6,2,1,1,3,9,2,4,2,1,1
59196,96,6,6,6,6,6,6,6,6,6,6,6,3,2,2,3,4,4,6,2,2,1
59198,2,6,6,6,6,6,6,6,6,6,6,6,1,2,9,2,8,1,3,2,3,3
59201,5,2,1,2,6,2,2,1,6,6,6,6,3,2,1,3,6,4,6,2,1,1
59202,5,6,6,6,6,6,6,6,6,6,6,6,2,1,1,3,8,3,6,2,1,1
59203,96,6,6,6,6,6,6,6,6,6,6,6,2,2,3,3,5,4,4,2,3,1
59205,2,2,6,6,6,6,1,1,6,2,6,6,1,2,1,2,4,4,3,2,2,2
59206,4,1,6,6,6,6,1,6,2,6,6,6,3,1,1,2,8,4,5,2,1,1
59207,5,2,6,2,6,2,1,1,6,6,2,6,1,2,2,3,4,3,1,1,1,1
59210,4,2,6,6,6,1,1,2,2,6,6,6,3,2,1,3,10,2,6,1,1,1
59211,4,1,2,6,6,6,1,6,6,6,6,6,1,2,2,2,5,4,3,1,2,1
59213,4,1,2,1,6,6,6,6,6,6,6,6,1,2,1,2,6,4,1,2,1,1
59214,3,2,1,2,6,2,1,6,2,6,6,6,1,1,1,3,6,2,1,2,1,1
59215,2,2,1,6,2,2,1,6,6,6,6,6,1,2,1,2,6,1,2,1,2,1
59216,3,2,1,6,6,6,1,2,6,6,6,6,1,2,1,1,10,2,4,1,2,1
59217,2,6,6,6,6,6,6,6,6,6,6,6,4,2,2,1,5,2,3,1,3,1
59219,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,10,3,3,2,2,2
59220,3,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,4,3,5,2,2,2
59222,4,1,6,2,2,6,6,6,1,6,6,6,1,1,1,2,9,1,5,1,3,3
59223,2,2,6,6,2,1,1,2,6,6,6,9,1,1,1,2,4,1,5,2,1,1
59225,99,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,4,4,6,2,3,9
59226,96,2,1,6,2,6,6,1,6,6,6,6,1,1,1,1,8,1,2,1,1,1
59227,4,6,6,6,6,6,6,6,6,6,6,6,4,2,1,2,5,4,6,1,1,1
59228,3,1,6,6,6,6,1,2,6,6,6,6,3,2,1,1,8,2,3,1,3,1
59229,96,6,6,6,6,6,6,6,6,6,6,6,4,1,3,3,5,4,6,2,1,1
59230,2,1,6,1,6,6,2,6,2,2,6,6,3,2,2,1,5,4,6,1,9,9
59234,3,6,6,6,6,6,6,6,6,6,6,6,1,1,2,1,8,4,4,2,3,1
59236,4,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,9,4,6,1,3,9
59237,2,6,6,6,6,6,6,6,6,6,6,6,1,1,9,2,5,4,2,2,3,1
59239,3,2,6,6,2,2,1,1,6,6,6,6,1,2,1,2,5,4,2,2,3,2
59240,3,1,6,6,6,6,2,1,2,2,6,6,1,2,1,2,4,2,2,1,2,2
59241,99,2,2,6,6,2,1,1,6,6,6,6,1,2,1,2,5,1,4,2,2,1
59242,96,2,6,6,6,1,6,2,6,6,2,6,3,2,3,3,5,4,4,1,9,9
59245,1,6,6,6,6,6,6,6,6,6,6,6,4,2,2,2,2,2,1,2,1,1
59246,99,1,6,1,6,6,2,6,6,6,6,6,1,1,1,1,8,4,3,2,1,2
59249,5,2,6,6,6,2,1,1,6,6,6,6,2,1,1,2,5,4,1,2,2,2
59250,1,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,9,4,5,2,1,1
59252,3,1,2,2,6,2,1,2,6,6,6,6,1,2,1,2,1,4,6,1,1,1
59253,5,2,1,6,6,1,2,6,6,2,2,6,2,1,1,2,4,4,4,1,3,3
59254,5,2,6,6,6,6,2,2,1,2,1,6,4,1,1,3,5,4,6,2,1,1
59255,4,1,6,2,6,2,2,6,6,6,6,6,3,1,1,3,1,1,6,2,1,1
59256,2,6,6,6,6,6,6,6,6,6,6,6,2,2,1,3,5,2,6,1,1,1
59257,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,2,4,3,2,2,1
59259,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,5,4,6,2,2,1
59260,5,2,6,6,6,2,1,1,6,6,6,6,2,2,1,2,4,4,6,2,2,2
59261,3,2,6,6,6,2,6,1,6,6,1,6,1,1,2,2,4,4,2,1,2,2
59262,99,6,6,6,6,6,6,6,6,6,6,6,2,2,9,3,5,4,4,2,1,1
59263,4,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,9,1,1,1,3,3
59266,3,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,6,3,1,2,1,1
59267,3,1,6,6,6,1,2,6,6,6,6,6,3,2,2,3,9,3,6,1,2,2
59268,1,1,6,6,1,2,2,6,6,6,6,6,2,1,1,2,2,4,6,2,1,1
59269,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,5,2,1,2,2,2
59271,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,4,2,3,1,2,2
59273,5,6,6,6,6,6,6,6,6,6,6,6,3,2,1,3,5,2,6,2,1,1
59276,1,2,6,6,6,1,1,2,6,6,6,6,2,2,1,3,2,4,6,2,2,1
59278,3,6,6,6,6,6,6,6,6,6,6,6,2,1,1,3,9,4,1,2,3,3
59279,96,1,6,6,6,6,1,6,6,2,6,6,2,2,1,1,1,2,6,1,1,1
59281,99,2,6,6,6,2,1,6,6,6,2,6,3,1,9,9,10,4,99,2,9,9
59282,4,1,1,2,6,2,2,6,6,6,6,6,1,1,1,2,6,4,3,1,9,1
59284,5,2,6,6,2,6,1,2,2,6,6,6,2,1,3,3,5,1,5,1,1,1
59288,99,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,1,4,1,1,1,1
59289,96,6,6,6,6,6,6,6,6,6,6,6,1,2,9,2,4,1,1,2,2,2
59290,96,6,6,6,6,6,6,6,6,6,6,6,4,1,1,3,10,2,6,2,1,1
59292,5,2,6,6,6,2,1,6,1,6,6,6,4,2,1,3,9,4,6,1,1,1
59294,96,6,6,6,6,6,6,6,6,6,6,6,2,1,1,1,5,4,2,2,3,3
59295,4,2,2,6,6,2,1,6,1,6,6,6,2,1,2,2,10,4,6,2,1,1
59296,96,1,6,2,6,6,2,1,6,6,6,6,1,2,2,2,6,2,1,2,2,2
59298,4,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,7,3,3,2,3,3
59299,4,1,6,2,2,2,1,6,6,6,6,6,2,2,1,9,9,4,5,1,2,1
59300,2,6,6,6,6,6,6,6,6,6,6,6,1,2,2,1,2,3,1,1,3,1
59302,4,2,6,6,6,2,6,1,6,6,6,6,1,2,1,3,4,3,2,1,3,1
59303,3,1,2,6,6,1,2,2,6,6,6,6,1,2,1,2,5,1,6,2,1,1
59304,2,6,6,6,6,6,6,6,6,6,6,6,1,1,9,1,8,4,1,1,1,1
59305,2,2,1,1,6,2,2,2,6,6,6,6,1,2,1,1,4,3,4,1,2,2
59309,3,6,6,6,6,6,6,6,6,6,6,6,4,2,2,2,1,4,6,1,1,1
59310,1,1,6,1,6,6,2,6,6,6,6,6,4,2,1,1,5,4,6,2,1,1
59312,99,6,6,6,6,6,6,6,6,6,6,6,2,1,9,9,5,4,99,1,9,9
59315,5,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,10,4,6,1,2,2
59317,5,2,6,6,6,1,1,2,2,6,6,6,3,2,1,3,2,3,6,2,1,1
59318,5,2,1,2,6,2,1,2,6,6,2,6,3,1,1,3,8,4,6,2,2,1
59319,1,2,1,6,6,6,1,2,6,6,6,6,1,2,1,1,10,4,6,1,2,2
59320,5,6,6,6,6,6,6,6,6,6,6,6,4,2,1,3,1,2,6,2,9,9
59321,4,1,6,6,6,2,2,6,1,2,6,6,3,1,1,3,6,1,3,2,1,1
59323,96,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,9,2,5,2,1,1
59325,96,1,6,6,6,6,2,6,1,6,6,6,1,2,1,2,6,1,6,2,2,1
59326,4,6,6,6,6,6,6,6,6,6,6,6,1,1,2,3,5,3,6,1,2,2
59327,2,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,5,4,6,2,1,1
59328,3,2,6,6,6,6,1,1,6,2,6,6,3,1,1,3,8,2,6,2,1,1
59329,4,6,6,6,6,6,6,6,6,6,6,6,2,2,1,3,9,3,5,1,1,1
59330,3,2,2,2,2,1,1,2,2,2,6,6,1,1,2,2,9,4,3,1,3,3
59331,4,6,6,6,6,6,6,6,6,6,6,6,2,2,1,3,9,4,3,1,1,1
59332,2,9,9,9,9,9,9,9,9,9,9,9,4,2,2,1,5,4,6,1,1,1
59334,2,1,6,1,6,6,2,6,6,6,6,6,2,2,1,1,9,2,5,1,2,1
59335,96,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,4,3,2,1,2,2
59336,2,6,6,6,6,6,6,6,6,6,6,6,2,2,9,2,9,4,3,2,1,1
59337,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,3,4,2,6,2,1,1
59338,3,6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,4,1,3,1,1,1
59340,2,1,6,2,6,6,1,6,6,6,6,6,4,1,1,2,1,3,6,1,1,1
59341,2,1,1,2,2,2,6,6,6,6,6,6,1,2,1,2,2,4,2,2,1,1
59342,3,1,6,1,6,6,2,6,6,6,6,6,4,2,1,1,9,4,6,1,1,1
59344,4,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,5,2,3,1,2,2
59345,5,1,6,6,2,2,2,6,1,2,6,6,4,2,1,3,5,4,6,2,1,1
59346,2,6,6,6,6,6,6,6,6,6,6,6,3,1,3,3,8,1,6,2,1,1
59347,96,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,7,2,1,1,3,1
59348,4,6,6,6,6,6,6,6,6,6,6,6,2,1,3,3,5,3,2,1,2,2
59349,5,6,6,6,6,6,6,6,6,6,6,6,4,2,1,3,9,4,6,2,1,1
59350,2,2,1,6,6,2,1,2,6,2,6,6,1,2,1,2,2,1,2,2,1,1
59351,3,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,5,4,2,2,3,3
59352,3,1,2,6,6,6,1,6,6,6,6,6,2,1,1,2,1,4,6,1,2,1
59353,1,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,4,4,6,2,9,9
59355,4,6,6,6,6,6,6,6,6,6,6,6,4,2,1,1,9,4,6,1,1,1
59356,96,6,6,6,6,6,6,6,6,6,6,6,3,2,2,3,4,4,6,1,3,1
59357,3,1,2,2,2,2,1,6,6,6,6,6,1,2,1,2,9,1,4,1,2,2
59359,99,6,6,6,6,6,6,6,6,6,6,6,2,2,3,3,5,2,6,1,2,1
59360,96,2,1,1,6,6,6,6,6,6,2,6,1,1,1,2,8,4,2,2,1,1
59361,3,6,6,6,6,6,6,6,6,6,6,6,2,2,3,3,9,2,5,2,1,9
59363,3,2,1,6,6,6,2,6,6,1,6,6,1,1,1,1,10,4,6,1,3,3
59364,99,1,6,2,2,2,1,2,6,2,6,6,3,2,9,9,6,3,99,2,9,9
59366,2,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,2,4,4,1,2,1
59367,96,2,2,6,6,6,1,2,6,6,6,6,2,1,1,2,4,3,3,2,2,3
59368,96,2,6,6,6,1,6,1,2,2,6,6,1,2,1,2,6,4,5,2,1,1
59369,5,6,6,6,6,6,6,6,6,6,6,6,4,2,9,2,5,3,6,2,3,3
59371,5,6,6,6,6,6,6,6,6,6,6,6,1,1,2,2,8,4,6,1,1,1
59373,1,2,2,6,2,1,1,6,6,6,6,6,2,2,1,3,2,3,4,1,1,1
59375,3,6,6,6,6,6,6,6,6,6,6,6,4,2,1,2,4,4,5,2,1,1
59376,3,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,5,4,6,2,3,1
59377,3,2,1,2,2,2,2,1,6,6,6,6,1,2,1,2,5,4,6,1,1,1
59378,1,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,5,1,3,1,2,1
59379,99,1,6,1,6,6,2,6,6,6,6,6,3,2,1,1,5,1,6,1,1,1
59382,96,6,6,6,6,6,6,6,6,6,6,6,3,1,9,3,8,4,6,2,1,1
59384,4,1,6,6,2,2,2,2,6,6,6,6,2,1,1,3,6,2,6,2,1,1
59388,4,1,6,1,2,6,2,2,6,6,6,6,3,2,1,3,8,4,5,2,1,1
59391,4,6,6,6,6,6,6,6,6,6,6,6,3,1,2,2,7,4,6,2,1,1
59395,96,6,6,6,6,6,6,6,6,6,6,6,4,1,1,3,1,4,6,2,1,1
59397,4,1,6,6,2,2,2,2,1,2,6,6,2,2,1,3,5,3,6,1,1,1
59400,3,6,6,6,6,6,6,6,6,6,6,6,2,2,1,2,9,2,6,2,1,1
59401,3,2,2,6,6,1,1,2,6,6,6,6,1,1,1,2,8,4,3,1,3,2
59402,3,6,6,6,6,6,6,6,6,6,6,6,3,1,2,2,1,4,4,2,3,3
59403,5,6,6,6,6,6,6,6,6,6,6,6,3,2,1,3,9,2,6,2,3,2
59404,99,6,6,6,6,6,6,6,6,6,6,6,2,1,9,3,7,1,2,2,1,1
59406,3,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,2,3,4,1,3,3
59407,2,6,6,6,6,6,6,6,6,6,6,6,4,1,1,1,4,2,2,2,9,9
59408,4,2,6,2,2,1,1,6,6,6,6,6,3,1,1,3,2,2,6,2,1,1
59414,3,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,9,1,3,2,2,1
59415,2,6,6,6,6,6,6,6,6,6,6,6,1,1,3,1,8,4,1,1,1,1
59417,5,1,6,2,6,2,2,6,1,6,6,6,2,2,1,2,4,4,6,2,1,1
59418,4,2,6,6,6,6,1,6,1,2,6,6,3,2,1,3,4,4,6,2,1,1
59419,1,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,2,2,6,1,2,2
59421,1,6,6,6,6,6,6,6,6,6,6,6,1,2,1,1,5,2,1,2,3,1
59422,4,2,6,6,6,1,6,1,6,6,6,6,3,1,3,3,9,4,6,2,1,1
59424,96,2,6,6,6,1,1,6,2,6,6,6,9,2,1,2,2,1,6,2,3,1
59425,4,1,6,1,6,2,6,6,6,6,6,6,1,2,2,2,5,3,1,1,1,2
59426,1,1,6,6,6,6,1,2,6,6,6,6,1,1,1,2,2,4,1,2,1,1
59428,5,6,6,6,6,6,6,6,6,6,6,6,3,1,1,3,5,4,6,2,2,1
59430,5,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,5,2,4,1,1,1
59431,1,6,6,6,6,6,6,6,6,6,6,6,1,1,1,1,10,4,3,1,3,2
59434,5,6,6,6,6,6,6,6,6,6,6,6,4,2,2,9,7,3,6,2,2,1
59436,3,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,5,1,2,2,3,3
59437,5,6,6,6,6,6,6,6,6,6,6,6,2,1,3,2,8,4,1,2,2,2
59439,3,1,6,6,6,6,2,6,1,6,6,6,2,2,1,2,5,2,4,2,1,1
59440,5,1,6,6,6,6,2,1,6,6,6,6,4,1,1,3,5,4,6,2,2,2
59441,2,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,5,2,6,2,1,3
59443,3,1,2,2,2,2,2,2,1,6,6,6,1,2,1,2,10,1,5,1,2,2
59444,5,6,6,6,6,6,6,6,6,6,6,6,4,2,1,2,8,2,6,2,1,1
59445,3,1,6,2,2,2,2,2,2,2,6,1,3,2,1,2,5,4,6,1,3,1
59447,3,2,6,6,6,2,1,6,6,2,6,6,3,2,1,3,1,2,6,2,1,1
59449,1,6,6,6,6,6,6,6,6,6,6,6,2,2,9,1,5,2,2,2,1,1
59451,5,6,6,6,6,6,6,6,6,6,6,6,3,2,2,2,5,2,6,2,3,1
59453,96,1,6,2,6,6,1,2,6,6,6,6,1,1,1,2,4,4,3,2,2,1
59456,96,2,1,6,2,2,2,6,6,6,6,1,1,2,1,2,5,4,3,2,1,1
59457,1,6,6,6,6,6,6,6,6,6,6,6,2,2,3,2,5,4,3,2,9,1
59464,2,9,9,9,9,9,9,9,9,9,9,9,1,2,1,1,9,1,4,9,2,2
59465,2,6,6,6,6,6,6,6,6,6,6,6,1,2,2,2,4,4,4,1,3,3
59466,5,2,6,2,6,2,1,1,6,6,6,6,2,1,1,3,4,2,5,2,1,1
59467,3,6,6,6,6,6,6,6,6,6,6,6,2,2,1,3,4,2,5,1,1,1
59469,2,6,6,6,6,6,6,6,6,6,6,6,3,1,1,3,8,2,6,2,1,1
59470,96,1,2,2,6,2,2,1,6,6,2,6,1,1,1,2,6,4,2,2,1,1
59471,5,6,6,6,6,6,6,6,6,6,6,6,1,1,9,2,5,3,1,2,1,1
59472,5,2,6,6,6,1,1,6,6,2,6,6,3,2,1,3,4,3,6,1,2,1
59473,3,6,6,6,6,6,6,6,6,6,6,6,1,2,1,2,5,4,6,1,1,1
59475,4,6,6,6,6,6,6,6,6,6,6,6,3,1,3,3,8,4,6,1,1,1
59476,4,6,6,6,6,6,6,6,6,6,6,6,2,2,3,3,8,3,3,2,1,1
